Name,University Name,Age,course,How frequently do you use AI?,Which Generative AI tool do you use?,Should curriculum be modified keeping AI in mind?
Lakshmi Nair,IIsc,25,science,Never,Others,No
Vihaan Verma,Univ. Of Delhi,24,commerce,Sometimes (At least once a month),DALL-E,Yes
Ayaan Joshi,IIsc,23,arts,Often (At least once a week),Research Rabbit,Yes
Reyansh Pandey,Anna Univ.,19,others,Often (At least once a week),ChatGPT,No
Anika Sharma,Anna Univ.,24,commerce,Often (At least once a week),Grammarly,No
Reyansh Singh,Univ. Of Delhi,23,arts,Sometimes (At least once a month),ChatGPT,Yes
Anika Rao,Univ. Of Delhi,24,others,Rarely (A few times a semester at most),DALL-E,Yes
Aadhya Das,Jadavpur Univ.,21,arts,Often (At least once a week),Research Rabbit,Yes
Ananya Chopra,Anna Univ.,24,science,Never,Midjourney,No
Ayaan Kumar,VIT(Vellore),19,science,Rarely (A few times a semester at most),Research Rabbit,Yes
Ananya Bose,Manipal Univ.,20,science,Sometimes (At least once a month),Others,No
Pihu Sharma,IIsc,23,commerce,Sometimes (At least once a month),Others,maybe
Ira Rao,Univ. Of Delhi,20,others,Often (At least once a week),DALL-E,maybe
Aarohi Rao,IIsc,22,others,Never,Midjourney,No
Ira Joshi,Anna Univ.,25,arts,Sometimes (At least once a month),Midjourney,No
Aditya Naidu,Anna Univ.,20,commerce,Often (At least once a week),ChatGPT,No
Aarohi Chopra,Univ. Of Delhi,22,science,Often (At least once a week),ChatGPT,Yes
Reyansh Joshi,Univ. Of Delhi,18,science,Often (At least once a week),Elicit,Yes
Reyansh Mehta,Jadavpur Univ.,19,others,Never,ChatGPT,No
Ira Rao,Anna Univ.,22,commerce,Rarely (A few times a semester at most),Others,Yes
Vihaan Verma,IIsc,20,commerce,Rarely (A few times a semester at most),Bing AI,No
Vivaan Naidu,Univ. Of Delhi,21,science,Rarely (A few times a semester at most),Others,No
Vivaan Mehta,IIsc,20,science,Often (At least once a week),Elicit,No
Sai Mehta,Anna Univ.,23,science,Often (At least once a week),Others,Yes
Aarav Kapoor,Anna Univ.,18,arts,Sometimes (At least once a month),Midjourney,No
Ayaan Chopra,Univ. Of Delhi,20,arts,Rarely (A few times a semester at most),Elicit,Yes
Aadhya Singh,Univ. Of Delhi,19,others,Sometimes (At least once a month),ChatGPT,Yes
Arjun Kapoor,Jadavpur Univ.,23,others,Often (At least once a week),ChatGPT,Yes
Lakshmi Desai,Anna Univ.,20,others,Sometimes (At least once a month),ChatGPT,Yes
Vivaan Singh,VIT(Vellore),21,others,Never,Research Rabbit,Yes
